global_step,mean_reward,mean_kl,kl_coef,elapsed_sec,loss,pg_loss,vf_loss,kl
8,-1.316162109375,0.007726307958364487,0.03333333333333333,24.31105923652649,0.04578247759491205,-0.014013932086527348,0.59417724609375,0.007726307958364487
16,-1.8837890625,0.02826889231801033,0.022222222222222223,22.049533367156982,0.11653999984264374,-0.0012922566384077072,1.1684112548828125,0.02826889231801033
24,-2.125,0.1300903931260109,0.022222222222222223,22.02562427520752,0.022382347844541073,-0.03585981111973524,0.553192138671875,0.1300903931260109
32,-3.18701171875,0.04160885326564312,0.014814814814814815,22.034170150756836,0.04222978791221976,-0.03388254204764962,0.75128173828125,0.04160885326564312
40,-2.4873046875,0.40589529275894165,0.022222222222222223,22.093003749847412,0.0641942429356277,-0.04360658768564463,1.017791748046875,0.40589529275894165
48,-3.04736328125,0.37969523295760155,0.03333333333333333,22.016191720962524,0.05974980955943465,-0.03734143264591694,0.8861083984375,0.37969523295760155
56,-1.394287109375,0.6484573129564524,0.05,21.7205708026886,0.09141331259161234,-0.03807012550532818,1.0787353515625,0.6484573129564524
64,-0.7080078125,1.6600454449653625,0.07500000000000001,22.052247524261475,0.15854427736485377,-0.04036565404385328,1.1602325439453125,1.6600454449653625
72,-2.248046875,0.06841317377984524,0.07500000000000001,21.91584086418152,0.03379269875586033,-0.039182682521641254,0.678314208984375,0.06841317377984524
80,-3.177734375,0.13682030886411667,0.07500000000000001,22.084800004959106,0.06435800530016422,-0.025642136170063168,0.797607421875,0.13682030886411667
88,-3.712890625,0.09040376171469688,0.07500000000000001,21.635937452316284,0.025485451566055417,-0.04803224839270115,0.6677398681640625,0.09040376171469688
96,-1.31268310546875,0.10273052752017975,0.07500000000000001,22.282304286956787,0.010872081387788057,-0.05214963387697935,0.55303955078125,0.10273052752017975
104,-3.13671875,0.1092874314635992,0.07500000000000001,22.03323531150818,0.02766623953357339,-0.04354148684069514,0.630584716796875,0.1092874314635992
112,-2.589111328125,0.07447110302746296,0.07500000000000001,21.94314193725586,0.04779301438247785,-0.04020122205838561,0.82421875,0.07447110302746296
120,-3.44183349609375,0.16264719516038895,0.07500000000000001,21.85304307937622,0.04888527048751712,-0.043051933869719505,0.7973675727844238,0.16264719516038895
128,-3.334228515625,0.2040623500943184,0.11250000000000002,21.8007709980011,0.05498169572092593,-0.04171431693248451,0.8138999938964844,0.2040623500943184
136,-3.5556640625,0.17151663079857826,0.11250000000000002,21.818159103393555,0.073938331566751,-0.03306575724855065,0.8771896362304688,0.17151663079857826
144,-3.876953125,0.24927538260817528,0.16875,21.646291255950928,0.03439260181039572,-0.05336806131526828,0.5972137451171875,0.24927538260817528
152,-1.636962890625,0.16267028637230396,0.16875,21.82487964630127,0.025613938050810248,-0.0625437656417489,0.60693359375,0.16267028637230396
