global_step,mean_reward,mean_kl,kl_coef,elapsed_sec,loss,pg_loss,vf_loss,kl
8,-2.4808349609375,0.0006943345069885254,0.03333333333333333,24.119274854660034,0.06555106397718191,-0.0003558434545993805,0.659637451171875,0.0006943345069885254
16,-2.652616500854492,0.016022395342588425,0.022222222222222223,21.0928852558136,0.09595168079249561,0.0007558930665254593,0.9466705322265625,0.016022395342588425
24,-1.4490966796875,0.06350385770201683,0.014814814814814815,21.072256088256836,0.046226801350712776,-0.02448408678174019,0.693328857421875,0.06350385770201683
32,-3.5931396484375,0.1768670752644539,0.01,21.162843704223633,0.02144374922499992,-0.05850805714726448,0.7730712890625,0.1768670752644539
40,-2.912841796875,0.25669631361961365,0.01,21.155226707458496,0.07914993073791265,-0.013276049867272377,0.8978271484375,0.25669631361961365
48,-4.123291015625,0.012261778116226196,0.01,20.833956718444824,0.06342144683003426,-0.006677975878119469,0.69873046875,0.012261778116226196
56,-1.70977783203125,0.7996941469609737,0.01,21.04136037826538,0.023218796122819185,-0.0706851314753294,0.859130859375,0.7996941469609737
64,-1.68585205078125,0.7780008539557457,0.01,20.426522731781006,0.047393061220645905,-0.026121802628040314,0.656494140625,0.7780008539557457
72,-4.771484375,-0.00838293693959713,0.01,21.07302451133728,0.08936071395874023,-0.004875749349594116,0.942230224609375,-0.00838293693959713
80,-0.6220703125,2.344655007123947,0.01,21.08483386039734,0.05199626134708524,-0.050872283056378365,0.794189453125,2.344655007123947
88,-4.6943359375,-0.012834809720516205,0.01,20.85056185722351,0.09065971802920103,-0.006158649921417236,0.9698486328125,-0.012834809720516205
96,-3.205078125,-0.0056794434785842896,0.01,21.174158334732056,0.08778045419603586,-0.0032577228266745806,0.9105224609375,-0.0056794434785842896
104,-2.258056640625,2.034191645681858,0.01,21.02813148498535,0.09200530871748924,-0.02651166170835495,0.98095703125,2.034191645681858
112,-2.7606201171875,-0.011939387768507004,0.01,21.025933742523193,0.09263758640736341,-0.005997911095619202,0.986083984375,-0.011939387768507004
120,-3.2738037109375,1.9560351595282555,0.01,20.279972314834595,0.07684394251555204,-0.019758034497499466,0.770751953125,1.9560351595282555
128,-1.7158203125,0.58177375420928,0.01,21.0968017578125,0.08524992875754833,-0.012730902060866356,0.92236328125,0.58177375420928
136,-0.42529296875,1.2150601372122765,0.01,20.853637218475342,0.06729557737708092,-0.01329069584608078,0.68359375,1.2150601372122765
144,-2.7197265625,1.6649875342845917,0.01,20.688591480255127,0.056391683872789145,-0.021312414668500423,0.611053466796875,1.6649875342845917
152,-1.89306640625,4.962323099374771,0.015,21.42973279953003,0.08911995496600866,-0.05056064575910568,0.9013671875,4.962323099374771
160,-2.67626953125,2.021320089697838,0.015,20.833350896835327,0.11019307002425194,-0.01768379658460617,0.975738525390625,2.021320089697838
